"","word"
"1","私"
"2","僕"
"3","自分"
"4","自身"
"5","我々"
"6","私達"
"7","あなた"
"8","彼"
"9","彼女"
"10","彼ら"
"11","彼女ら"
"12","あれ"
"13","それ"
"14","これ"
"15","あれら"
"16","あれらの"
"17","それら"
"18","それらの"
"19","これら"
"20","これらの"
"21","ああした"
"22","そうした"
"23","こうした"
"24","この"
"25","その"
"26","あの"
"27","なに"
"28","何"
"29","どれ"
"30","いずれ"
"31","だれ"
"32","誰"
"33","どこ"
"34","どんな"
"35","なぜ"
"36","いくつ"
"37","いくら"
"38","いる"
"39","ある"
"40","あり"
"41","おり"
"42","おく"
"43","おら"
"44","あった"
"45","いた"
"46","する"
"47","やる"
"48","した"
"49","すべ"
"50","でき"
"51","言う"
"52","言っ"
"53","伝える"
"54","伝え"
"55","知らせる"
"56","知らせ"
"57","また"
"58","でも"
"59","しかし"
"60","だが"
"61","ですが"
"62","もし"
"63","もしくは"
"64","ながら"
"65","一方"
"66","他方"
"67","だから"
"68","なぜなら"
"69","つまり"
"70","すると"
"71","として"
"72","まで"
"73","一度"
"74","ここ"
"75","そこ"
"76","あちら"
"77","こちら"
"78","すべて"
"79","全て"
"80","いずれ"
"81","両方"
"82","双方"
"83","片方"
"84","それぞれ"
"85","少数"
"86","少なく"
"87","多数"
"88","多く"
"89","もっと"
"90","より"
"91","ほとんど"
"92","おおよそ"
"93","おおかた"
"94","大方"
"95","ほぼ"
"96","ほとんど"
"97","一部"
"98","ほか"
"99","他"
"100","よう"
"101","様"
"102","ない"
"103","無い"
"104","しない"
"105","だけ"
"106","そして"
"107","すぎる"
"108","過ぎる"
"109","とても"
"110","かなり"
"111","ずいぶん"
"112","あまりに"
"113","よって"
"114","によって"
"115","による"
"116","により"
"117","では"
"118","ため"
"119","にとって"
"120","に対して"
"121","に対し"
"122","に対する"
"123","ついて"
"124","について"
"125","をめぐる"
"126","関して"
"127","に関して"
"128","に関する"
"129","間"
"130","を通じて"
"131","を通じ"
"132","を通し"
"133","を通して"
"134","中"
"135","前"
"136","後"
"137","上"
"138","下"
"139","内"
"140","外"
"141","から"
"142","まで"
"143","にかけて"
"144","また"
"145","ふたたび"
"146","再び"
"147","さらに"
"148","更に"
"149","いっそう"
"150","一層"
"151","より"
"152","自ら"
"153","自己"
"154","同じ"
"155","同一"
"156","分"
"157","時"
"158","日"
"159","月"
"160","年"
"161","年代"
"162","年度"
"163","世紀"
"164","午前"
"165","午後"
"166","一月"
"167","二月"
"168","三月"
"169","四月"
"170","五月"
"171","六月"
"172","七月"
"173","八月"
"174","九月"
"175","十月"
"176","十一月"
"177","十二月"
"178","月曜"
"179","火曜"
"180","水曜"
"181","木曜"
"182","金曜"
"183","土曜"
"184","日曜"
"185","一"
"186","二"
"187","三"
"188","四"
"189","五"
"190","六"
"191","七"
"192","八"
"193","九"
"194","十"
